title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
Miss Hickory,Carolyn Bailey,,Fiction,,,,,3,
Miss Pickerell,Ellen MacGregor,,Fiction,,,,,3,
Misty of Chincoteague,Marguerite Henry,,Fiction,,,,,3,
Moby Dick,Melville,,Fiction,Adventure,,Ships,,9,Kindle
Moominland Midwinter,Tove Jeansson,,Fiction,,,,,2,
Morning Star of the Reformation,Andy Thomson,,,,,,,7,
Mr. Popper’s Penguins,Richard Atwater,,Fiction,,,,,3,
Mrs. Frisby and the Rats of NIMH,Robert O'Brien,,Fiction,,,,,5,
Mrs. Mike,Ben Freedman,,,,,,,7,
Much Ado About Nothing,Shakespeare,,,,,,,8,
Murder on the Orient Express,Agatha Christie,,Fiction,Mystery,,,,,
Mushroom Planet,Eleanor Cameron,,Fiction,,,,,5,
My Brother Sam Is Dead,James Lincoln Collier,,,History,,,,,
My Father’s Dragon,Ruth Gannett,,Fiction,,,,,3,
My Friend Flicka,Mary O'Hara,,Fiction,,,,,6,
My Side of the Mountain,Jean C. George,,Fiction,,,,,4,
Myths and Legends series,Rosemary Sutcliffe,,,History,,,,,
Narrative of the Life of Frederick Douglass,Frederick Douglass,,,Biography,,,,,
Never Give In: The Extraordinary Character of Winston Churchill,Stephen Mansfield,,,,,,,8,
Nicholas Nickleby,Charles Dickens,,,,,,,7,
Noah Webster: Master of Words,David Collins,,,,,,,7,
Northhanger Abbey,Jane Austen,,,,,,,8,
Novum Organum,Francis Bacon,,Non-Fiction,Science,Philosophy,,,11,
Now We are Six,A. A. Milne,,Fiction,,,,,2,
Number the Stars,Lois Lowry,,Fiction,,,,,4,
Number: The Language of Science,Tobias Dantzig,,,Math,,,,,
Nurse Matilda,Christianna Brand,,Fiction,,,,,2,
Odyssey,Homer,,Fiction,Myth,Adventure,,,8,
"Of Courage Undaunted – H, NN",James Daugherty,,,,,,,7,
Old Yeller,Fred Gipson,,Fiction,,,,,5,
Oliver Twist,Charles Dickens,,,,,,,7,
On the Movement of Bodies,Huygens,,,Science,,,,10,
On the Nature of Things,Lucretius,,,Philosophy,,,,12,
On the revolutions of the spheres,Copernicus,,,Science,,,,10,
One Morning in Maine,Robert McCloskey,,Fiction,,,,,2,
Origin Of Species,Charles Darwin,,,Science,,,,8,
Othello,Shakespeare,,Fiction,Play,Literature,,,10,
Otto of the Silver Hand,Howard Pyle,,,Historical Fiction,,,,,
Out of Darkness: The Story of Louis Braille,Russell Freedman,,,,,,,7,
Out of the Silent Planet,C. S. Lewis,,,,,,,7,
Outcast,Rosemary Sutcliffe,,,Historical Fiction,,,,,
Owl Moon,Jane Yolen,,Fiction,,,,,2,
Owls in the Family,Farley Mowat,,Fiction,,,,,2,
Ox-Cart Man,Donald Hall,,Fiction,,,,,3,
Paddington,Michael Bond,,Fiction,,,,,3,
Paddle-to-the-Sea,H. C. Holling,,Fiction,,,,,3,
Paradise Lost,Milton,,,"Religion
",,,,11,
Paul Bunyan,Steven Kellogg,,Non-Fiction,,,,,3,
Paul Revere and the World He Lived In,Esther Forbes,,,,,,,7,
Peloponnesian War,Thucydides,,Non-Fiction,History,War,Ancient Greece,,9,Kindle
Perelandra,C. S. Lewis,,,,,,,7,
Peter Pan,James Barrie,,Fiction,,,,,3,
Peter Rabbit ,Beatrix Potter,,Fiction,,,,,1,
Phaedrus ,Plato,,,,,,,11,
Philosophical Fragments,Kierkegaard,,,Philosophy,,,,12,
Philosophy of Nature ,Hegel,,,Philosophy,,,,11,
Physics,Aristotle,,,Science,,,,10,
Pilgrim's Progress,John Bunyan,,Fiction,,,,,2,
Pinocchio,C. Collodi,,Fiction,,,,,3,
Pippi Longstocking,Astrid Lindgren,,Fiction,,,,,3,
Pollyanna,Eleanor Porter,,Fiction,,,,,5,
Prairie School,Lois Lenski,,Fiction,,,,,4,
Pride and Prejudice,Jane Austen,,Fiction,Romance,Period Fiction,,,8,Kindle
Prince Caspian,C. S. Lewis,,Fiction,,,,,4,
Principia Mathematica ,Isaac Newton,,,Maths,,,,11,
